canonical_key,class,method,file,jdk_annotation,cache_result,randoop_sef,category,randoop_vs_cache,red_alert,reasons
java.util.AbstractCollection.<init>(),java.util.AbstractCollection,<init>,AbstractCollection.java,SideEffectFree,SIDE_EFFECT_FREE,False,Match,Ours Only SEF,False,
java.util.AbstractList$RandomAccessSpliterator.<init>(java.util.List),java.util.AbstractList$RandomAccessSpliterator,<init>,AbstractList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,loaded object 'load alist from parameter this' escapes to global scope
java.util.AbstractList.<init>(),java.util.AbstractList,<init>,AbstractList.java,SideEffectFree,SIDE_EFFECT_FREE,False,Match,Ours Only SEF,False,
java.util.AbstractMap.<init>(),java.util.AbstractMap,<init>,AbstractMap.java,SideEffectFree,SIDE_EFFECT_FREE,False,Match,Ours Only SEF,False,
java.util.AbstractMap.clone(),java.util.AbstractMap,clone,AbstractMap.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,writes to static field keySet; writes to static field values; this escapes to global scope
"java.util.AbstractMap.eq(java.lang.Object,java.lang.Object)",java.util.AbstractMap,eq,AbstractMap.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.AbstractSet.<init>(),java.util.AbstractSet,<init>,AbstractSet.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList$ArrayListSpliterator.characteristics(),java.util.ArrayList$ArrayListSpliterator,characteristics,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList$ArrayListSpliterator.estimateSize(),java.util.ArrayList$ArrayListSpliterator,estimateSize,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field fence; mutates this via field expectedModCount
java.util.ArrayList$ArrayListSpliterator.forEachRemaining(java.util.function.Consumer),java.util.ArrayList$ArrayListSpliterator,forEachRemaining,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field index; Consumer parameter escapes to global scope; loaded object 'load this$0 from parameter this' escapes to global scope ... (+1 more)
java.util.ArrayList$ArrayListSpliterator.getFence(),java.util.ArrayList$ArrayListSpliterator,getFence,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field fence; mutates this via field expectedModCount
java.util.ArrayList$ArrayListSpliterator.tryAdvance(java.util.function.Consumer),java.util.ArrayList$ArrayListSpliterator,tryAdvance,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field fence; mutates this via field expectedModCount; mutates this via field index ... (+3 more)
java.util.ArrayList$ArrayListSpliterator.trySplit(),java.util.ArrayList$ArrayListSpliterator,trySplit,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field fence; mutates this via field expectedModCount; mutates this via field index
java.util.ArrayList$Itr.checkForComodification(),java.util.ArrayList$Itr,checkForComodification,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList$Itr.forEachRemaining(java.util.function.Consumer),java.util.ArrayList$Itr,forEachRemaining,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field lastRet; mutates this via field cursor; Consumer parameter escapes to global scope ... (+1 more)
java.util.ArrayList$Itr.hasNext(),java.util.ArrayList$Itr,hasNext,ArrayList.java,Pure,SIDE_EFFECT_FREE,False,Match,Ours Only SEF,False,
java.util.ArrayList$Itr.next(),java.util.ArrayList$Itr,next,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field lastRet; mutates this via field cursor; loaded object 'load elementData from callee: load this$0 from parameter this' escapes to global scope
java.util.ArrayList$Itr.remove(),java.util.ArrayList$Itr,remove,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field expectedModCount; mutates this via field lastRet; mutates this via field cursor ... (+5 more)
