file,class,method,signature,jdk_annotation,our_verdict,reason,category,randoop_sef,randoop_vs_jdk,randoop_vs_ours,dataflow_ms,check_ms,total_method_ms,jimple_stmts,graph_nodes,graph_edges,file_total_ms,file_ir_loading_ms,file_call_graph_ms,file_dataflow_total_ms,file_check_total_ms,file_methods_count
AbstractCollection.java,java.util.AbstractCollection,isEmpty,<java.util.AbstractCollection: boolean isEmpty()>,Pure,SIDE_EFFECTING,this escapes to global scope,Tool False Positive,True,Ground Truth Both SEF,Randoop Only SEF,22.5,2.3,24.8,7,1,0,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,remove,<java.util.AbstractCollection: boolean remove(java.lang.Object)>,,SIDE_EFFECTING,this escapes to global scope,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,22.0,0.0,22.0,18,6,5,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,<init>,<java.util.AbstractCollection: void <init>()>,SideEffectFree,SIDE_EFFECT_FREE,,Match,False,Randoop Miss,Ours Only SEF,0.1,0.0,0.1,3,1,0,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,add,<java.util.AbstractCollection: boolean add(java.lang.Object)>,,SIDE_EFFECT_FREE,,Annotation Deficit,False,Ground Truth Both Not SEF,Ours Only SEF,0.1,0.0,0.1,5,3,0,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,addAll,<java.util.AbstractCollection: boolean addAll(java.util.Collection)>,,SIDE_EFFECT_FREE,,Annotation Deficit,False,Ground Truth Both Not SEF,Ours Only SEF,0.4,0.0,0.4,12,4,0,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,finishToArray,"<java.util.AbstractCollection: java.lang.Object[] finishToArray(java.lang.Object[],java.util.Iterator)>",,SIDE_EFFECTING,mutates Object[] parameter via field array element,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,14.2,0.1,14.3,21,18,11,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,toString,<java.util.AbstractCollection: java.lang.String toString()>,SideEffectFree,SIDE_EFFECTING,this escapes to global scope,Tool False Positive,True,Ground Truth Both SEF,Randoop Only SEF,11.4,0.0,11.4,23,51,36,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,contains,<java.util.AbstractCollection: boolean contains(java.lang.Object)>,Pure,SIDE_EFFECTING,this escapes to global scope,Tool False Positive,True,Ground Truth Both SEF,Randoop Only SEF,0.2,0.0,0.2,16,3,0,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,retainAll,<java.util.AbstractCollection: boolean retainAll(java.util.Collection)>,,SIDE_EFFECTING,this escapes to global scope,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,2.2,0.0,2.2,14,6,5,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,removeAll,<java.util.AbstractCollection: boolean removeAll(java.util.Collection)>,,SIDE_EFFECTING,this escapes to global scope,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,0.4,0.0,0.4,14,6,5,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,toArray,<java.util.AbstractCollection: java.lang.Object[] toArray()>,SideEffectFree,SIDE_EFFECTING,this escapes to global scope,Tool False Positive,False,Randoop Miss,Both Side-Effecting,0.5,0.0,0.6,21,18,11,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,clear,<java.util.AbstractCollection: void clear()>,,SIDE_EFFECTING,this escapes to global scope,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,0.2,0.0,0.2,8,5,5,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,toArray,<java.util.AbstractCollection: java.lang.Object[] toArray(java.lang.Object[])>,SideEffectFree,SIDE_EFFECTING,writes to static field unknown,Tool False Positive,False,Randoop Miss,Both Side-Effecting,3.4,0.1,3.5,39,20,11,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,containsAll,<java.util.AbstractCollection: boolean containsAll(java.util.Collection)>,Pure,SIDE_EFFECTING,this escapes to global scope,Tool False Positive,True,Ground Truth Both SEF,Randoop Only SEF,0.2,0.0,0.2,11,4,0,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,iterator,,SideEffectFree,NOT_ANALYZED,abstract/interface method,Not Analyzed,False,Randoop Miss,Not Comparable,0,0,0,0,0,0,1640.7,51.0,1431.2,77.8,2.6,14
AbstractCollection.java,java.util.AbstractCollection,size,,Pure,NOT_ANALYZED,abstract/interface method,Not Analyzed,True,Ground Truth Both SEF,Not Comparable,0,0,0,0,0,0,1640.7,51.0,1431.2,77.8,2.6,14
AbstractList.java,java.util.AbstractList,<init>,<java.util.AbstractList: void <init>()>,SideEffectFree,SIDE_EFFECT_FREE,,Match,False,Randoop Miss,Ours Only SEF,14.7,0.0,14.8,4,1,0,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$SubList,checkForComodification,<java.util.AbstractList$SubList: void checkForComodification()>,,SIDE_EFFECT_FREE,,Annotation Deficit,False,Ground Truth Both Not SEF,Ours Only SEF,1.5,0.0,1.5,9,3,1,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$SubList,size,<java.util.AbstractList$SubList: int size()>,Pure,SIDE_EFFECT_FREE,,Match,False,Randoop Miss,Ours Only SEF,0.8,0.0,0.8,4,2,1,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$Itr,hasNext,<java.util.AbstractList$Itr: boolean hasNext()>,Pure,SIDE_EFFECT_FREE,,Match,False,Randoop Miss,Ours Only SEF,0.3,0.0,0.3,9,3,2,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$SubList,get,<java.util.AbstractList$SubList: java.lang.Object get(int)>,,SIDE_EFFECTING,loaded object 'callee: load root from parameter this' escapes to global scope,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,20.8,1.3,22.1,10,12,4,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$Itr,checkForComodification,<java.util.AbstractList$Itr: void checkForComodification()>,,SIDE_EFFECT_FREE,,Annotation Deficit,False,Ground Truth Both Not SEF,Ours Only SEF,0.1,0.0,0.2,9,3,1,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$Itr,next,<java.util.AbstractList$Itr: java.lang.Object next()>,,SIDE_EFFECTING,mutates this via field lastRet,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,5.7,0.1,5.8,16,14,13,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList,remove,<java.util.AbstractList: java.lang.Object remove(int)>,,SIDE_EFFECT_FREE,,Annotation Deficit,False,Ground Truth Both Not SEF,Ours Only SEF,0.1,0.0,0.1,5,2,0,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$Itr,remove,<java.util.AbstractList$Itr: void remove()>,,SIDE_EFFECTING,mutates this via field expectedModCount,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,0.7,0.0,0.8,27,3,1,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$Itr,<init>,<java.util.AbstractList$Itr: void <init>(java.util.AbstractList)>,,SIDE_EFFECT_FREE,,Annotation Deficit,False,Ground Truth Both Not SEF,Ours Only SEF,0.2,0.0,0.2,10,3,2,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$SubList,updateSizeAndModCount,<java.util.AbstractList$SubList: void updateSizeAndModCount(int)>,,SIDE_EFFECTING,mutates this via field modCount,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,0.6,0.1,0.7,12,3,3,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList,add,"<java.util.AbstractList: void add(int,java.lang.Object)>",,SIDE_EFFECT_FREE,,Annotation Deficit,False,Ground Truth Both Not SEF,Ours Only SEF,0.2,0.0,0.2,6,3,0,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$ListItr,add,<java.util.AbstractList$ListItr: void add(java.lang.Object)>,,SIDE_EFFECTING,mutates this via field cursor,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,0.3,0.0,0.3,19,5,2,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$SubList$1,add,<java.util.AbstractList$SubList$1: void add(java.lang.Object)>,,SIDE_EFFECTING,mutates loaded object 'load i from parameter this' via field lastRet,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,0.2,0.0,0.2,7,8,7,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$ListItr,<init>,"<java.util.AbstractList$ListItr: void <init>(java.util.AbstractList,int)>",,SIDE_EFFECT_FREE,,Annotation Deficit,False,Ground Truth Both Not SEF,Ours Only SEF,0.1,0.0,0.1,7,3,3,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList,outOfBoundsMsg,<java.util.AbstractList: java.lang.String outOfBoundsMsg(int)>,,SIDE_EFFECTING,writes to static field count,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,12.8,0.1,12.8,11,16,8,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList,rangeCheckForAdd,<java.util.AbstractList: void rangeCheckForAdd(int)>,,SIDE_EFFECTING,writes to static field count,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,0.8,0.0,0.9,10,18,9,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList,listIterator,<java.util.AbstractList: java.util.ListIterator listIterator(int)>,,SIDE_EFFECTING,writes to static field count,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,0.5,0.0,0.5,6,19,11,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$SubList$1,<init>,"<java.util.AbstractList$SubList$1: void <init>(java.util.AbstractList$SubList,int)>",,SIDE_EFFECTING,writes to static field count,Both Side-Effecting,False,Ground Truth Both Not SEF,Both Side-Effecting,0.3,0.0,0.3,15,23,20,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$ListItr,previousIndex,<java.util.AbstractList$ListItr: int previousIndex()>,,SIDE_EFFECT_FREE,,Annotation Deficit,False,Ground Truth Both Not SEF,Ours Only SEF,0.0,0.0,0.0,4,1,0,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$SubList$1,previousIndex,<java.util.AbstractList$SubList$1: int previousIndex()>,,SIDE_EFFECT_FREE,,Annotation Deficit,False,Ground Truth Both Not SEF,Ours Only SEF,0.1,0.0,0.1,7,3,2,2193.6,50.1,1981.5,107.1,2.7,72
AbstractList.java,java.util.AbstractList$ListItr,nextIndex,<java.util.AbstractList$ListItr: int nextIndex()>,,SIDE_EFFECT_FREE,,Annotation Deficit,False,Ground Truth Both Not SEF,Ours Only SEF,0.0,0.0,0.0,3,1,0,2193.6,50.1,1981.5,107.1,2.7,72
