file,class,method,signature,jdk_annotation,our_verdict,reason,category,dataflow_ms,check_ms,total_method_ms,jimple_stmts,graph_nodes,graph_edges,file_total_ms,file_ir_loading_ms,file_call_graph_ms,file_dataflow_total_ms,file_check_total_ms,file_methods_count
AbstractCollection.java,java.util.AbstractCollection,isEmpty,<java.util.AbstractCollection: boolean isEmpty()>,Pure,SIDE_EFFECTING,this escapes to global scope,Tool False Positive,18.4,1.5,20.0,7,1,0,2779.6,79.4,2567.1,37.0,1.8,14
AbstractCollection.java,java.util.AbstractCollection,remove,<java.util.AbstractCollection: boolean remove(java.lang.Object)>,,SIDE_EFFECTING,this escapes to global scope,Both Side-Effecting,0.5,0.0,0.5,18,3,0,2779.6,79.4,2567.1,37.0,1.8,14
AbstractCollection.java,java.util.AbstractCollection,<init>,<java.util.AbstractCollection: void <init>()>,SideEffectFree,SIDE_EFFECT_FREE,,Match,0.1,0.0,0.1,3,1,0,2779.6,79.4,2567.1,37.0,1.8,14
AbstractCollection.java,java.util.AbstractCollection,add,<java.util.AbstractCollection: boolean add(java.lang.Object)>,,SIDE_EFFECT_FREE,,Annotation Deficit,3.2,0.0,3.2,5,3,0,2779.6,79.4,2567.1,37.0,1.8,14
AbstractCollection.java,java.util.AbstractCollection,addAll,<java.util.AbstractCollection: boolean addAll(java.util.Collection)>,,SIDE_EFFECT_FREE,,Annotation Deficit,0.4,0.0,0.4,12,4,0,2779.6,79.4,2567.1,37.0,1.8,14
AbstractCollection.java,java.util.AbstractCollection,finishToArray,"<java.util.AbstractCollection: java.lang.Object[] finishToArray(java.lang.Object[],java.util.Iterator)>",,SIDE_EFFECTING,mutates Object[] parameter via field array element,Both Side-Effecting,11.0,0.1,11.1,21,4,0,2779.6,79.4,2567.1,37.0,1.8,14
AbstractCollection.java,java.util.AbstractCollection,toString,<java.util.AbstractCollection: java.lang.String toString()>,SideEffectFree,SIDE_EFFECTING,this escapes to global scope,Tool False Positive,0.4,0.0,0.4,23,3,0,2779.6,79.4,2567.1,37.0,1.8,14
AbstractCollection.java,java.util.AbstractCollection,contains,<java.util.AbstractCollection: boolean contains(java.lang.Object)>,Pure,SIDE_EFFECTING,this escapes to global scope,Tool False Positive,0.3,0.0,0.3,16,3,0,2779.6,79.4,2567.1,37.0,1.8,14
AbstractCollection.java,java.util.AbstractCollection,retainAll,<java.util.AbstractCollection: boolean retainAll(java.util.Collection)>,,SIDE_EFFECTING,this escapes to global scope,Both Side-Effecting,0.5,0.0,0.5,14,3,0,2779.6,79.4,2567.1,37.0,1.8,14
AbstractCollection.java,java.util.AbstractCollection,removeAll,<java.util.AbstractCollection: boolean removeAll(java.util.Collection)>,,SIDE_EFFECTING,this escapes to global scope,Both Side-Effecting,0.6,0.0,0.6,14,3,0,2779.6,79.4,2567.1,37.0,1.8,14
